NEGATIVE# Бешенство                               # 540
POSITIVE# Водное дыхание                          # 642
POSITIVE# Восстановление запаса сил               # 207
POSITIVE# Восстановление здоровья                 # 172
POSITIVE# Восстановление магии                    # 207
NEGATIVE# Замедление                              # 1582
NEGATIVE# Затяжной урон запасу сил                # 81
NEGATIVE# Затяжной урон здоровью                  # 543
NEGATIVE# Затяжной урон магии                     # 452
POSITIVE# Исцеление болезней                      # 134
POSITIVE# Невидимость                             # 1680
NEGATIVE# Опустошение запаса сил                  # 338
NEGATIVE# Опустошение здоровья                    # 39
NEGATIVE# Опустошение магии                       # 98
NEGATIVE# Паралич                                 # 1797
NEGATIVE# Повреждение регенерации запаса сил      # 1017
NEGATIVE# Повреждение регенерации магии           # 1696
POSITIVE# Повышение запаса сил                    # 455
POSITIVE# Повышение здоровья                      # 531
POSITIVE# Повышение искусства лучника             # 759
POSITIVE# Повышение искусства торговли            # 303
POSITIVE# Повышение магии                         # 455
POSITIVE# Повышение навыка: блокирование          # 354
POSITIVE# Повышение навыка: взлом                 # 165
POSITIVE# Повышение навыка: восстановление        # 759
POSITIVE# Повышение навыка: двуручное оружие      # 759
POSITIVE# Повышение навыка: зачарование           # 97
POSITIVE# Повышение навыка: изменение             # 303
POSITIVE# Повышение навыка: иллюзия               # 607
POSITIVE# Повышение навыка: карманные кражи       # 759
POSITIVE# Повышение навыка: колдовство            # 483
POSITIVE# Повышение навыка: кузнечное дело        # 562
POSITIVE# Повышение навыка: лёгкая броня          # 354
POSITIVE# Повышение навыка: одноручное оружие     # 759
POSITIVE# Повышение навыка: разрушение            # 966
POSITIVE# Повышение навыка: скрытность            # 759
POSITIVE# Повышение навыка: тяжёлая броня         # 354
POSITIVE# Повышение переносимого веса             # 1337
POSITIVE# Регенерация запаса сил                  # 1135
POSITIVE# Регенерация здоровья                    # 1135
POSITIVE# Регенерация магии                       # 1135
POSITIVE# Сопротивление магии                     # 324
POSITIVE# Сопротивление огню                      # 550
POSITIVE# Сопротивление холоду                    # 550
POSITIVE# Сопротивление электричеству             # 550
POSITIVE# Сопротивление ядам                      # 593
NEGATIVE# Страх                                   # 602
NEGATIVE# Урон запасу сил                         # 275
NEGATIVE# Урон здоровью                           # 23
NEGATIVE# Урон магии                              # 337
NEGATIVE# Уязвимость к магии                      # 330
NEGATIVE# Уязвимость к огню                       # 307
NEGATIVE# Уязвимость к холоду                     # 256
NEGATIVE# Уязвимость к электричеству              # 359
NEGATIVE# Уязвимость к яду                        # 330
